Total_Amount_USD,Actual_Tip_USD,Predicted_Tip_USD
32.83,1.967,10.963748280844804
6.32,10.417,9.212266104899221
24.98,3.567,7.273942861610493
30.150000000000002,1.45,8.608951281688412
35.160000000000004,1.667,10.997368866301386
23.59,18.533,13.637700128486905
35.2,1.817,10.146192921166907
40.24,13.367,11.338295154807405
23.62,1.283,8.981604487674701
29.89,4.417,13.957678583305402
24.66,5.7,13.611005423709578
23.24,0.667,8.125203110495022
21.37,12.117,13.392926132109146
34.93,9.233,9.80609683075037
28.46,4.6,9.835402748588933
26.24,1.75,10.01946340868382
28.96,5.533,7.992696776858871
30.779999999999998,12.95,8.902723948932305
57.82,8.617,9.365052455534702
21.37,19.083,9.711802492037748
12.700000000000001,0.017,10.764212194758898
20.12,3.617,11.05467621853208
18.17,27.317,13.180812535415711
12.43,24.883,10.987964364309533
82.5,5.4,5.320873008131308
20.229999999999997,6.15,11.715381096914896
28.11,19.667,12.50121643499044
44.9,4.817,7.129894973018793
28.13,11.9,10.466942007426404
34.41,18.933,6.376624814955079
34.949999999999996,1.767,11.007613836945545
27.52,5.217,13.800581950754328
19.01,10.667,8.52298380973285
21.59,13.483,12.069034981727576
32.82,2.867,12.813421135123576
14.82,3.067,10.107294913471868
55.629999999999995,13.667,15.76148751537987
20.11,31.217,10.587785292246934
35.160000000000004,25.133,14.404623351531583
22.52,6.967,13.469154455920844
29.0,14.033,8.879086888999403
13.76,22.25,12.986113673644276
29.209999999999997,8.217,10.279810654790978
55.82,1.233,5.242370227695005
16.29,11.983,11.897239863817461
32.62,9.967,14.236258184156178
12.700000000000001,4.733,11.479756895913638
20.11,1.267,10.346136037975292
26.47,5.8,9.801114794316902
24.98,27.65,13.729836972050613
22.849999999999998,3.8,10.278054075730005
17.14,12.383,10.672841490299433
30.709999999999997,2.2,13.20653517821927
20.65,0.0,12.006726612698877
24.36,12.583,13.688739962691258
124.46,15.117,-2.1517708114862444
26.77,2.117,9.90729659709234
19.37,1.417,13.357975322847444
21.23,22.1,13.481266350925502
24.150000000000002,29.183,12.238725859082322
50.84,6.933,12.22198991837412
33.24,21.9,10.874296662040528
21.849999999999998,26.483,12.08626921145892
20.11,15.333,11.787016101499738
21.18,5.15,11.512538141234451
41.99,4.533,7.426807206805037
39.73,1.933,14.609927893137694
95.43,5.283,18.3996503742544
56.44,2.183,2.1903567823773002
34.3,12.217,12.911523673594289
24.87,15.867,9.040296435955902
48.51,27.25,15.289534762736984
26.67,25.183,12.230864436826693
30.689999999999998,11.433,12.672233022324512
24.77,2.883,12.007301800118277
41.73,13.233,9.046283378884844
31.97,14.917,14.095552421156128
35.15,4.883,10.278852736676136
24.88,5.2,13.625588233482247
14.8,7.283,10.202628905201188
15.88,3.767,12.223521228543163
18.779999999999998,3.517,10.580175330045115
65.78,19.683,3.236377025272816
37.580000000000005,15.1,10.368392209846753
11.85,8.467,10.297065788375406
23.490000000000002,11.417,13.53345138991854
128.7,0.55,0.32828791800451995
7.0600000000000005,2.433,7.078419110547387
13.76,3.067,7.522531953624252
38.96,23.3,14.656508247605032
17.880000000000003,15.45,10.842717386670614
26.029999999999998,0.417,11.688072771696909
22.540000000000003,9.9,13.470480165900177
17.76,5.217,13.15363548083937
53.239999999999995,18.5,14.166971024023525
20.11,6.15,11.158728040393463
69.77,5.05,9.35262714091094
23.409999999999997,4.217,10.088674164201457
17.439999999999998,11.167,13.230044309841716
18.74,9.1,13.218595269826729
31.77,35.117,9.047935857370177
23.84,2.1,8.092479633593548
26.990000000000002,6.083,9.132491842910973
20.22,28.433,13.414317996969139
22.849999999999998,5.083,13.491028670579851
44.09,2.05,6.945773668671208
35.61000000000001,12.8,11.920339094678454
20.11,7.533,13.309406403411103
20.65,10.0,9.623802057069781
34.93,13.633,14.389377686769244
20.11,4.117,10.981518587260922
13.549999999999999,2.183,12.874573530189572
28.26,18.017,13.947253408661375
27.63,12.817,10.030090013860608
15.88,6.8,11.41802371430434
60.410000000000004,21.967,15.980712011768986
19.58,3.083,11.935801128804513
45.29,9.85,9.256544381872772
35.16,9.7,6.9740772488625
36.79,1.0,12.901673686369662
20.65,0.817,9.799663423684521
0.0,21.233,11.976405019190835
27.29,5.583,8.169670525229627
28.06,0.0,8.567074290556675
25.330000000000002,14.883,12.316942747863024
20.11,1.5,10.892913860694655
26.36,7.95,11.404818417908203
35.08,11.233,6.9768293840875515
13.28,28.017,10.738217983020476
47.43,18.167,8.80522572354893
31.450000000000003,52.117,14.061083961693448
24.68,1.633,13.612331133688912
19.98,14.183,7.586913378168063
42.55,10.5,14.796853000223777
27.529999999999998,15.817,11.384752263027544
20.24,5.733,7.952061986928449
25.93,27.05,13.792808196068975
23.57,7.7,10.233315887032568
60.43,13.1,6.943007525470982
32.82,7.55,14.151895095277823
62.65,3.083,5.994684713812255
16.92,23.567,10.513269127963774
32.3,26.033,9.928839561773287
22.38,15.283,13.459874486065509
50.34,4.2,7.950969757031558
21.060000000000002,6.483,13.469997816101163
80.36999999999999,9.367,8.847007158599702
20.11,9.517,13.309406403411103
34.62,8.6,11.854716450701424
32.88,43.8,14.155872225215823
35.690000000000005,25.517,14.439754665983934
14.4,12.817,9.892842489113121
33.35,12.317,14.284646598401864
34.3,4.333,10.93940285022699
60.31,9.583,9.257194680083614
24.25,23.9,11.522715219644894
59.519999999999996,1.067,8.340638222183543
53.04,26.433,14.153713924230189
16.94,18.633,12.245454006593526
8.26,0.583,6.352464195068599
45.53,13.7,3.500894745919645
12.88,13.45,11.122507515695595
27.52,21.383,9.336777635353478
33.35,14.45,8.506920847828702
23.29,5.417,13.617814478796895
20.44,14.583,9.608534015768974
35.489999999999995,4.817,8.930695945601016
27.24,16.483,13.879642199715349
53.1,1.583,15.496165014322429
20.970000000000002,8.067,11.530838087020996
13.23,3.717,10.131741059356067
66.4,12.4,8.420407196863017
22.970000000000002,36.833,10.293102823785361
20.85,6.1,9.419574828018646
34.410000000000004,8.133,11.036259468642633
39.68,0.417,2.5212523701829426
0.0,5.45,10.637931059036589
21.169999999999998,1.067,13.379669032315803
20.11,7.083,11.11135867650217
12.37,6.95,8.775575958839369
23.3,6.483,10.09749270959989
26.56,13.867,9.418133108908435
28.06,0.083,12.3230012803904
24.349999999999998,13.117,10.02075484443413
23.4,3.367,13.527485695011535
21.169999999999998,20.067,11.567299625278466
35.559999999999995,0.0,10.757108399226219
16.94,5.983,13.09928137168668
47.22,4.65,9.855522974524199
42.339999999999996,4.95,10.853065662918382
38.33,17.167,14.614748383256014
39.5,3.7,9.496843450206676
16.41,10.567,11.725676097080083
32.07,3.783,10.132038712818463
22.03,7.183,6.901191186526198
16.490000000000002,14.983,13.069452897151663
20.65,14.4,9.799663423684521
28.59,25.717,11.213365637660594
27.14,0.617,5.427540679208683
47.74,0.783,9.712781980854338
5.29,0.9,7.913889417658979
25.740000000000002,1.733,8.31663223124528
102.88,0.5,3.667265748961796
36.64,0.25,9.636560417036804
32.31,15.25,7.866080693793776
34.19,1.8,11.045841584297122
45.89,16.283,10.43592619771671
38.099999999999994,9.367,9.361460302460522
20.659999999999997,6.8,10.19502006065121
33.89,7.433,14.222820579172186
29.97,46.25,7.831797253347531
0.0,12.383,11.976405019190835
23.29,5.483,7.173834364886353
0.0,5.133,11.976405019190835
14.280000000000001,30.45,11.584487984281019
35.99,1.85,7.907086503525164
45.98,5.4,4.10682240931942
38.0,4.3,8.373472871710298
12.9,0.317,7.465526424512895
55.49,2.05,8.532641244463882
20.229999999999997,2.083,13.317360663287111
29.99,18.717,6.631381219204677
31.09,0.867,6.647910442071321
21.18,24.367,11.06145953326071
16.94,1.95,10.780409017641915
40.35,2.067,8.390961130343634
9.379999999999999,13.233,12.598162999498449
26.46,19.25,10.992588260400687
23.91,7.7,8.960552406663098
71.13,3.883,7.789196941835236
27.529999999999998,6.133,9.757647284265133
23.810000000000002,3.0,12.216188789433645
31.43,25.983,10.257809984506892
20.12,7.7,13.310069258400773
16.94,5.917,13.19690156035837
21.18,21.767,10.529831173863094
120.22,2.35,18.606773744812877
20.970000000000002,9.317,10.982139290375564
28.09,0.383,8.760831811036638
21.73,12.3,13.514409100408848
33.35,3.117,8.039732289570189
9.72,16.033,10.333087128708883
19.060000000000002,24.933,13.33742681816777
16.94,8.15,11.133867436943959
21.48,25.55,13.400217536995477
12.700000000000001,18.15,8.790743284873791
22.12,22.783,11.831645227856534
36.8,27.067,14.415711381165274
36.01,16.55,14.36334583698158
29.24,11.617,9.803657151934921
37.050000000000004,20.517,9.841907411708725
27.52,2.867,13.800581950754328
20.11,3.0,10.892913860694655
20.970000000000002,8.517,11.433217898349305
152.92,4.4,8.458252568312332
24.23,1.55,11.52138950966556
24.88,29.333,13.625588233482247
23.38,7.967,11.497266736113417
25.62,27.967,13.674639502717604
20.12,10.7,11.58726506489274
22.53,1.333,11.05332476819406
26.680000000000003,9.833,12.231527291816363
27.09,15.883,13.772079186198646
33.68,1.933,8.472410236490994
15.96,11.933,9.424344632391609
21.8,34.75,13.519049085336519
19.58,2.517,11.935801128804513
28.580000000000002,13.683,8.821335652344679
29.65,30.917,14.039390252225083
20.65,15.833,9.058605710584807
39.07,11.567,9.532780486790102
43.75,4.033,7.087234636294454
21.79,15.917,13.420766041675158
23.02,6.083,8.94183318829468
28.06,43.667,12.497902160042102
40.17,4.05,7.16923302126505
16.94,20.65,6.752921446447829
14.69,10.133,10.105384687230782
32.84,3.217,14.250840993928847
26.77,1.2,10.505673331109904
23.5,3.333,12.020739405102269
24.68,20.817,13.709951322360602
36.67,8.533,8.527922899319272
24.03,12.567,9.541757988166466
16.04,4.2,11.502084657383541
24.03,1.583,11.056093314935445
46.07,2.583,8.182100999038802
30.59,7.867,10.259475478334622
24.25,14.183,13.58382836913323
