,Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Subtotal_amount_USD,Tip_USD
397,541,4.667,26.483,12.35,Mobile Web,Delivery,19.67,3.67
398,541,0.717,18.05,9.667,Mobile Web,Delivery,27.65,3.4
399,541,5.333,31.9,13.533,Mobile Web,Delivery,35.34,4.31
400,541,1.2,24.883,9.283,Mobile Web,Delivery,23.28,0.0
401,541,2.283,18.133,12.183,Mobile Web,Delivery,23.62,3.92
402,541,10.65,38.317,26.517,Mobile Web,Delivery,23.07,2.71
403,541,6.333,29.217,24.333,Mobile Web,Delivery,63.64,8.8
404,541,27.65,55.1,35.183,Mobile Web,Delivery,24.96,3.0
405,541,0.917,,8.267,Mobile Web,Delivery,12.98,1.2
406,541,3.05,,10.617,Mobile Web,Delivery,22.08,1.0
407,541,1.867,14.567,10.683,Mobile Web,Delivery,24.57,2.65
408,541,2.55,21.9,14.617,Mobile Web,Delivery,49.12,6.33
409,541,0.383,,7.333,Mobile Web,Delivery,19.08,0.0
410,541,0.6,22.667,11.983,Mobile Web,Delivery,71.73,10.23
411,541,5.25,34.867,14.583,Tablet Web,Delivery,35.16,4.05
412,541,4.85,,12.083,Desktop Web,Carryout,18.29,2.0
413,541,1.1,,46.033,Desktop Web,Carryout,74.89,0.0
414,541,194.067,,207.967,Desktop Web,Carryout,15.99,0.0
415,541,2.4,,10.867,Desktop Web,Carryout,14.09,0.0
416,541,28.75,,40.05,Desktop Web,Carryout,15.99,0.0
417,541,1.083,19.033,10.583,Desktop Web,Delivery,53.36,6.69
418,541,12.05,32.167,23.05,Desktop Web,Delivery,53.95,9.03
419,541,1.517,28.167,12.317,Desktop Web,Delivery,62.94,8.69
420,541,0.783,24.183,14.633,Desktop Web,Delivery,126.52,24.31
421,541,8.083,28.417,18.167,Desktop Web,Delivery,75.45,10.57
422,541,2.833,22.733,12.333,Desktop Web,Delivery,117.71,28.18
423,541,4.2,26.217,16.433,Desktop Web,Delivery,102.13,25.0
424,541,15.7,35.733,26.5,Desktop Web,Delivery,19.08,2.11
425,541,5.1,28.05,14.283,Desktop Web,Delivery,16.67,1.0
426,541,2.1,,11.683,Desktop Web,Delivery,45.34,6.05
427,541,313.333,,321.85,Traditional,Carryout,70.45,0.0
428,541,-0.017,,6.35,Traditional,Carryout,588.4,25.0
429,541,404.5,,411.95,Traditional,Carryout,70.45,0.0
430,541,18.683,,27.617,Traditional,Carryout,8.99,0.0
431,541,3.2,,11.283,Traditional,Delivery,19.77,0.0
432,541,2.7,19.867,9.217,Traditional,Delivery,14.57,1.0
433,541,0.35,22.767,10.7,Traditional,Delivery,23.55,0.0
434,541,2.733,27.617,10.667,Traditional,Delivery,44.16,10.0
435,541,2.017,19.6,10.55,Traditional,Delivery,23.28,0.0
436,541,59.967,,67.667,iOS,Carryout,15.99,0.0
437,541,51.117,,59.383,iOS,Carryout,18.09,0.0
438,541,121.7,,130.317,iOS,Carryout,14.09,3.05
439,541,20.633,,27.283,iOS,Carryout,14.68,0.0
440,541,33.7,,43.017,iOS,Carryout,16.48,0.0
441,541,1.567,,11.45,iOS,Carryout,15.28,0.0
442,541,136.833,,147.067,iOS,Carryout,45.25,0.0
